,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,,,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 01:04,6.25,0.78125,4.615384,0.7692337,3.10397148,47,47,48,49,54,1201.37085,1201.37085,1201.37085,1201.37085,5.27886724,2.19725084,0.049444575,0,,,100.114235,48.91008,7.67831039,8.020519,49,27.420784
05-03-2024 01:04,1.53846145,4.615384,4.615384,3.73134613,3.62514257,55,53,56,55,59,2502.8562,4204.79834,3503.99878,2502.8562,9.000126,3.3610177,1.28536141,0,,,100.11425,54.6010132,8.57172,7.12710953,49,27.420784
05-03-2024 01:04,0.7692337,0,6.88811541,0,1.9143343,51,50,53,53,59,1601.82788,1601.82788,1201.371,1301.48523,6.89952374,1.896803,1.15461767,0,,,100.114243,54.63207,8.576595,7.12223434,50,27.4209671
05-03-2024 01:04,0,0,2.31971145,0.7692337,0.7722378,53,50,54,53,59,1501.714,1601.82837,1101.257,1201.37122,6.0822525,1.41793442,1.09324193,0,,,100.114273,54.6390648,8.577694,7.12113571,50,27.4209671
05-03-2024 01:04,0,0,0.7692337,0,0.192308426,52,52,54,54,61,2102.39966,1101.25708,1301.4856,1101.25708,5.98604059,1.394109,1.10552943,0,,,100.114273,54.66694,8.582069,7.11676025,50,27.4209671
05-03-2024 01:04,8.59375,0,5.433452,0,3.50679755,53,51,54,54,60,1902.17261,1601.82959,1802.05823,1601.82959,7.519437,2.58141184,1.297255,0,,,100.114349,54.669075,8.582405,7.11642456,49,27.4210663
05-03-2024 01:05,1.53846145,5.384612,3.8461566,0,2.692306,53,50,53,54,61,1601.82849,1501.71423,1501.71423,1701.94275,7.204953,2.377841,1.28207481,0,,,100.114281,54.677,8.583649,7.115181,49,27.4210663
05-03-2024 01:05,0.793647766,0,3.90625,0,1.17497444,55,52,54,54,59,3403.883,4104.68262,3604.11133,3403.883,7.49683428,2.64732218,1.21375072,0,,,100.114204,54.62483,8.575459,7.123371,49,27.4210663
05-03-2024 01:05,0.78125,0,6.25,0,1.7578125,53,49,52,54,60,1601.82813,1501.71387,1401.59961,1301.48535,5.8890686,1.43685663,1.11746573,0,,,100.114258,54.64966,8.579357,7.1194725,50,27.4211273
