,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,Total Power,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 16:39,5.46875,2.34375,0,0,1.953125,42,41,41,44,48,1101.25684,1101.25684,1101.25684,1101.25684,2.84001422,0.8455402,0.033240214,0,3.718794634,100.114258,49.2996,7.73946,7.95936966,41,27.4029236
05-03-2024 16:39,6.92307949,2.30768919,0,0,2.30768919,44,42,44,45,51,1101.257,1201.37134,1201.37134,1201.37134,5.787241,1.13497889,1.25335133,0,8.17557122,100.114273,52.2748451,8.206539,7.4922905,41,27.4029236
05-03-2024 16:39,8.59375,0.793647766,0,1.53846145,2.73146629,45,43,45,47,51,1201.37036,1101.25623,1201.37036,1101.25623,5.81792927,1.12024593,1.21543229,0,8.15360749,100.114204,52.2559433,8.203571,7.49525833,41,27.4030457
05-03-2024 16:39,3.8461566,1.53846145,0,1.53846145,1.73076987,46,44,46,45,52,1201.37134,1201.37134,1201.37134,1201.37134,5.996994,1.151071,1.22925711,0,8.37732211,100.114281,52.2332954,8.200016,7.49881363,41,27.4030457
05-03-2024 16:39,3.076923,2.30768919,0.7692337,1.58730149,1.93528533,45,44,46,48,54,1201.37122,1201.37122,1201.37122,1201.37122,5.8453,1.17993319,1.25119376,0,8.27642695,100.114273,51.95011,8.15556,7.54327,41,27.4030457
05-03-2024 16:40,3.076923,2.30768919,0,1.51515007,1.72494054,46,45,47,48,53,1201.37073,1201.37073,1201.37073,1201.37073,5.86771,1.18689811,1.27652442,0,8.33113253,100.114227,51.9601479,8.157135,7.54169464,41,27.4030685
05-03-2024 16:40,5.384612,2.28472948,0,0.757575035,2.10673213,47,44,47,48,54,1201.37122,1201.37122,1201.37122,1201.37122,5.82368374,1.167592,1.25640476,0,8.2476805,100.114265,51.9435768,8.154533,7.54429626,41,27.4030685
05-03-2024 16:40,10.0000019,3.150183,0,1.58730149,3.68437171,47,45,47,48,54,1101.25708,1101.25708,1201.37134,1201.37134,5.716449,1.09334457,1.23896277,0,8.04875634,100.114281,51.9381561,8.153683,7.545147,41,27.4030685
05-03-2024 16:40,10.0000019,2.30768919,0,0.78125,3.27223539,48,46,47,49,54,1201.37134,1201.37134,1201.37134,1201.37134,6.054018,1.36534071,1.24540079,0,8.6647595,100.114281,51.9276352,8.152031,7.54679871,42,27.4030762
05-03-2024 16:40,14.6153812,1.53846145,0,1.51515007,4.417247,48,47,48,49,55,1201.37109,1201.37109,1201.37109,1201.37109,5.67895031,1.089976,1.21948683,0,7.98841314,100.114258,52.13554,8.18466949,7.51416,42,27.4030762
05-03-2024 16:40,10.9375,0.78125,0,0.78125,3.125,48,47,48,50,55,1201.37085,1101.25659,1101.25659,1201.37085,5.720635,1.19683731,1.245145,0,8.16261731,100.114243,51.62528,8.104565,7.594265,42,27.4030762
05-03-2024 16:41,10.76923,1.53846145,0,0.793647766,3.27533484,47,46,48,49,54,1201.37183,1201.37183,1201.37183,1201.37183,5.762492,1.12953246,1.24170732,0,8.13373178,100.114311,51.6070061,8.101696,7.59713364,42,27.4021683
05-03-2024 16:41,11.5384579,2.30768919,0,3.03030014,4.219115,48,47,48,49,54,1101.25659,1101.25659,1101.25659,1101.25659,5.72820759,1.105196,1.25581145,0,8.08921504,100.114235,51.6047974,8.101349,7.597481,42,27.4021683
05-03-2024 16:41,9.230768,1.53846145,0,1.49253607,3.065443,49,45,48,50,56,1101.25659,1201.37085,1201.37085,1201.37085,6.02090836,1.21916676,1.26339686,0,8.50347198,100.114235,51.5727234,8.096313,7.602516,42,27.4021683
05-03-2024 16:41,7.8125,1.5625,0,0.78125,2.5390625,49,48,48,50,55,1201.37109,1201.37109,1201.37109,1201.37109,5.90087271,1.243868,1.2457391,0,8.39047981,100.114258,51.5667877,8.095383,7.603447,43,27.4021759
05-03-2024 16:41,14.84375,3.90625,3.174603,3.174603,6.27479553,49,48,49,51,57,1401.59949,1401.59949,1301.48523,1301.48523,6.45415449,1.66807556,1.285964,0,9.40819405,100.114243,51.56378,8.09491,7.60392,43,27.4021759
05-03-2024 16:41,19.23077,8.4615345,3.150183,0,7.710618,51,50,49,52,56,2302.628,3103.542,1802.05664,1301.48535,8.680309,3.5518713,1.51639009,0,13.74857039,100.114258,51.0060654,8.007355,7.691475,43,27.4021759
05-03-2024 16:42,10.76923,0.757575035,0,0.78125,3.0770123,49,47,49,51,56,1201.37073,1201.37073,1201.37073,1201.37073,5.74120855,1.20919847,1.27312434,0,8.22353136,100.11422,50.5600243,7.937332,7.7614975,43,27.4021912
